Test,Solution,Grade,Question,Answer,Correct Answer,Success,Weight,WeightedScore,Notes,
,,9,14,d,b,0,6,0,,
,,9,15,d,b,0,6,0,,
,,9,16,a,a,1,6,6,,
,,9,17,c,c,1,6,6,,
,,9,18,d,d,1,6,6,,
,,9,19,d,b,0,6,0,,
,,9,20,e,c,0,6,0,,
,,9,21,c,b,0,8,0,,
,,9,22,d,e,0,8,0,,
,,9,23,e,a,0,8,0,,
,,9,24,c,e,0,8,0,,
,,9,25,d,a,0,8,0,,
https://www.cemc.uwaterloo.ca/contests/past_contests/2013/2013PascalContest.pdf,https://www.cemc.uwaterloo.ca/contests/past_contests/2013/2013PascalSolution.pdf,9,1,b,b,1,5,5,,
,,9,2,a,a,1,5,5,,
,,9,3,e,e,1,5,5,,
,,9,4,b,b,1,5,5,,
,,9,5,c,c,1,5,5,,
,,9,6,b,b,1,5,5,,
,,9,7,a,a,1,5,5,,
,,9,8,c,c,1,5,5,,
,,9,9,a,a,1,5,5,,
,,9,10,d,d,1,5,5,,
,,9,11,c,c,1,6,6,,
,,9,12,d,d,1,6,6,,
,,9,13,b,b,1,6,6,,
,,9,14,c,b,0,6,0,,
,,9,15,c,c,1,6,6,,
,,9,16,d,d,1,6,6,,
,,9,17,b,e,0,6,0,,
,,9,18,e,e,1,6,6,,
,,9,19,c,c,1,6,6,,
,,9,20,d,e,0,6,0,,
,,9,21,a,a,1,8,8,,
,,9,22,e,a,0,8,0,,
,,9,23,c,d,0,8,0,,
,,9,24,b,d,0,8,0,,
,,9,25,d,e,0,8,0,,
https://www.cemc.uwaterloo.ca/contests/past_contests/2012/2012PascalContest.pdf,https://www.cemc.uwaterloo.ca/contests/past_contests/2012/2012PascalSolution.pdf,9,1,d,d,1,5,5,,
,,9,2,e,e,1,5,5,,
,,9,3,b,b,1,5,5,,
,,9,4,b,b,1,5,5,,
,,9,5,a,a,1,5,5,,
,,9,6,e,e,1,5,5,,
,,9,7,d,d,1,5,5,,
,,9,8,a,a,1,5,5,,
,,9,9,c,c,1,5,5,,
,,9,10,b,b,1,5,5,,
,,9,11,c,c,1,6,6,,
,,9,12,b,b,1,6,6,,
,,9,13,e,e,1,6,6,,
,,9,14,c,c,1,6,6,,
,,9,15,c,c,1,6,6,,
,,9,16,b,b,1,6,6,,
,,9,17,c,a,0,6,0,,
,,9,18,e,a,0,6,0,,
,,9,19,b,b,1,6,6,,
,,9,20,c,e,0,6,0,,
,,9,21,a,a,1,8,8,,
,,9,22,c,c,1,8,8,,
,,9,23,b,b,1,8,8,,
,,9,24,d,d,1,8,8,,
,,9,25,c,d,0,8,0,,
https://www.cemc.uwaterloo.ca/contests/past_contests/2011/2011PascalContest.pdf,https://www.cemc.uwaterloo.ca/contests/past_contests/2011/2011PascalSolution.pdf,9,1,b,b,1,5,5,,
,,9,2,e,e,1,5,5,,
,,9,3,c,c,1,5,5,,
,,9,4,b,b,1,5,5,,
,,9,5,a,a,1,5,5,,
,,9,6,a,a,1,5,5,,
,,9,7,b,b,1,5,5,,
,,9,8,d,d,1,5,5,,
,,9,9,e,e,1,5,5,,
,,9,10,c,c,1,5,5,,
,,9,11,e,e,1,6,6,,
,,9,12,d,d,1,6,6,,
,,9,13,a,a,1,6,6,,
,,9,14,c,c,1,6,6,,
,,9,15,a,a,1,6,6,,
,,9,16,d,d,1,6,6,,
,,9,17,a,a,1,6,6,,
,,9,18,b,c,0,6,0,,
,,9,19,d,e,0,6,0,,
,,9,20,d,d,1,6,6,,
,,9,21,d,d,1,8,8,,
,,9,22,c,c,1,8,8,,
,,9,23,d,b,0,8,0,,
,,9,24,a,a,1,8,8,,
,,9,25,c,a,0,8,0,,
https://www.cemc.uwaterloo.ca/contests/past_contests/2010/2010PascalContest.pdf,https://www.cemc.uwaterloo.ca/contests/past_contests/2010/2010PascalSolution.pdf,9,1,d,d,1,5,5,,
,,9,2,c,c,1,5,5,,
,,9,3,c,c,1,5,5,,
,,9,4,a,a,1,5,5,,
,,9,5,c,c,1,5,5,,
,,9,6,e,e,1,5,5,,
,,9,7,b,b,1,5,5,,
,,9,8,e,e,1,5,5,,
,,9,9,b,b,1,5,5,,
,,9,10,e,e,1,5,5,,
,,9,11,e,e,1,6,6,,
,,9,12,c,c,1,6,6,,
,,9,13,c,b,0,6,0,,
,,9,14,b,b,1,6,6,,
,,9,15,d,d,1,6,6,,
,,9,16,a,b,0,6,0,,
,,9,17,e,a,0,6,0,,
,,9,18,c,c,1,6,6,,
,,9,19,c,a,0,6,0,,
,,9,20,d,b,0,6,0,,
,,9,21,a,d,0,8,0,,
,,9,22,c,d,0,8,0,,
,,9,23,e,a,0,8,0,,
,,9,24,a,c,0,8,0,,
,,9,25,c,e,0,8,0,,
https://www.cemc.uwaterloo.ca/contests/past_contests/2009/2009PascalContest.pdf,https://www.cemc.uwaterloo.ca/contests/past_contests/2009/2009PascalSolution.pdf,9,1,d,d,1,5,5,,
,,9,2,e,e,1,5,5,,
,,9,3,d,d,1,5,5,,
,,9,4,a,a,1,5,5,,
,,9,5,d,d,1,5,5,,
,,9,6,a,a,1,5,5,,
,,9,7,c,c,1,5,5,,
,,9,8,d,d,1,5,5,,
,,9,9,c,b,0,5,0,,
,,9,10,c,c,1,5,5,,
,,9,11,e,e,1,6,6,,
,,9,12,d,d,1,6,6,,
,,9,13,b,a,0,6,0,,
,,9,14,a,a,1,6,6,,
,,9,15,b,b,1,6,6,,
,,9,16,e,e,1,6,6,,
,,9,17,b,b,1,6,6,,
,,9,18,d,d,1,6,6,,
,,9,19,b,c,0,6,0,,
,,9,20,d,e,0,6,0,,
,,9,21,c,c,1,8,8,,
,,9,22,d,e,0,8,0,,
,,9,23,c,b,0,8,0,,
,,9,24,d,b,0,8,0,,
,,9,25,e,d,0,8,0,,
https://www.cemc.uwaterloo.ca/contests/past_contests/2008/2008PascalContest.pdf,https://www.cemc.uwaterloo.ca/contests/past_contests/2008/2008PascalSolution.pdf,9,1,e,e,1,5,5,,
,,9,2,a,a,1,5,5,,
,,9,3,b,b,1,5,5,,
,,9,4,c,c,1,5,5,,
,,9,5,c,c,1,5,5,,
,,9,6,a,a,1,5,5,,
,,9,7,d,d,1,5,5,,
,,9,8,a,a,1,5,5,,
,,9,9,e,e,1,5,5,,
,,9,10,a,d,0,5,0,,
,,9,11,a,a,1,6,6,,
,,9,12,b,b,1,6,6,,
,,9,13,a,a,1,6,6,,
,,9,14,d,d,1,6,6,,
,,9,15,e,e,1,6,6,,
,,9,16,a,c,0,6,0,,
,,9,17,a,b,0,6,0,,
,,9,18,b,b,1,6,6,,
,,9,19,c,d,0,6,0,,
,,9,20,d,d,1,6,6,,
,,9,21,c,a,0,8,0,,
,,9,22,c,e,0,8,0,,
,,9,23,b,d,0,8,0,,
,,9,24,d,d,1,8,8,,
,,9,25,e,c,0,8,0,,
https://www.cemc.uwaterloo.ca/contests/past_contests/2007/2007PascalContest.pdf,https://www.cemc.uwaterloo.ca/contests/past_contests/2007/2007PascalSolution.pdf,9,1,b,b,1,5,5,,
,,9,2,b,b,1,5,5,,
,,9,3,a,a,1,5,5,,
,,9,4,e,e,1,5,5,,
,,9,5,e,e,1,5,5,,
,,9,6,a,a,1,5,5,,
,,9,7,a,a,1,5,5,,
,,9,8,b,b,1,5,5,,
,,9,9,c,c,1,5,5,,
,,9,10,e,e,1,5,5,,
,,9,11,c,c,1,6,6,,
,,9,12,d,d,1,6,6,,
,,9,13,b,b,1,6,6,,
,,9,14,d,d,1,6,6,,
,,9,15,a,a,1,6,6,,
,,9,16,c,c,1,6,6,,
,,9,17,c,c,1,6,6,,
,,9,18,d,d,1,6,6,,
,,9,19,c,c,1,6,6,,
,,9,20,d,d,1,6,6,,
,,9,21,d,b,0,8,0,,
,,9,22,c,e,0,8,0,,
,,9,23,e,b,0,8,0,,
,,9,24,b,e,0,8,0,,
,,9,25,d,a,0,8,0,,
https://www.cemc.uwaterloo.ca/contests/past_contests/2006/2006PascalContest.pdf,https://www.cemc.uwaterloo.ca/contests/past_contests/2006/2006PascalSolution.pdf,9,1,e,e,1,5,5,,
,,9,2,b,b,1,5,5,,
,,9,3,d,d,1,5,5,,
,,9,4,a,a,1,5,5,,
,,9,5,b,b,1,5,5,,
,,9,6,c,c,1,5,5,,
,,9,7,e,e,1,5,5,,
,,9,8,a,a,1,5,5,,
,,9,9,c,c,1,5,5,,
,,9,10,d,d,1,5,5,,
,,9,11,b,b,1,6,6,,
,,9,12,c,c,1,6,6,,
,,9,13,d,d,1,6,6,,
,,9,14,e,e,1,6,6,,
,,9,15,e,e,1,6,6,,
,,9,16,e,d,0,6,0,,
,,9,17,d,a,0,6,0,,
,,9,18,c,c,1,6,6,,
,,9,19,a,a,1,6,6,,
,,9,20,a,a,1,6,6,,
,,9,21,a,e,0,8,0,,
,,9,22,d,a,0,8,0,,
,,9,23,e,c,0,8,0,,
,,9,24,e,b,0,8,0,,
,,9,25,c,a,0,8,0,,
https://www.cemc.uwaterloo.ca/contests/past_contests/2005/2005PascalContest.pdf,https://www.cemc.uwaterloo.ca/contests/past_contests/2005/2005PascalSolution.pdf,9,1,e,e,1,5,5,,
,,9,2,a,a,1,5,5,,
,,9,3,c,c,1,5,5,,
,,9,4,d,d,1,5,5,,
,,9,5,a,a,1,5,5,,
,,9,6,e,d,0,5,0,,
,,9,7,c,c,1,5,5,,
,,9,8,d,d,1,5,5,,
,,9,9,b,d,0,5,0,,
,,9,10,a,a,1,5,5,,
,,9,11,e,e,1,6,6,,
,,9,12,b,b,1,6,6,,
,,9,13,e,c,0,6,0,,
,,9,14,c,c,1,6,6,,
,,9,15,d,d,1,6,6,,
,,9,16,a,a,1,6,6,,
,,9,17,b,b,1,6,6,,
,,9,18,a,a,1,6,6,,
,,9,19,b,b,1,6,6,,
,,9,20,a,c,0,6,0,,
,,9,21,e,e,1,8,8,,
,,9,22,d,b,0,8,0,,
,,9,23,c,e,0,8,0,,
,,9,24,e,e,1,8,8,,
,,9,25,a,a,1,8,8,,
https://www.cemc.uwaterloo.ca/contests/past_contests/2004/2004PascalContest.pdf,https://www.cemc.uwaterloo.ca/contests/past_contests/2004/2004PascalSolution.pdf,9,1,a,a,1,5,5,,
,,9,2,e,e,1,5,5,,
,,9,3,d,d,1,5,5,,
,,9,4,e,e,1,5,5,,
,,9,5,a,a,1,5,5,,
,,9,6,c,c,1,5,5,,
,,9,7,d,d,1,5,5,,
,,9,8,a,a,1,5,5,,
,,9,9,b,b,1,5,5,,
,,9,10,e,e,1,5,5,,
,,9,11,b,b,1,6,6,,
,,9,12,b,c,0,6,0,,
,,9,13,a,c,0,6,0,,
,,9,14,d,d,1,6,6,,
,,9,15,b,c,0,6,0,,
,,9,16,b,b,1,6,6,,
,,9,17,d,d,1,6,6,,
,,9,18,c,c,1,6,6,,
,,9,19,a,a,1,6,6,,
,,9,20,c,c,1,6,6,,
,,9,21,c,c,1,8,8,,
,,9,22,b,a,0,8,0,,
,,9,23,c,a,0,8,0,,
,,9,24,e,e,1,8,8,,
,,9,25,b,b,1,8,8,,
